"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""1019"" 200720 2 2 31516 1 ""E"" 1 36 """" 9 2 2 NA NA NA 2 2 1 1 1 2 1 NA 1 NA NA 2 2 1 2 NA NA NA NA 1 1 2 1 2 2 1 1 1 1 2 1 2 NA NA NA NA NA NA 1 1 1 1 1 3 2 2 2 2 1 NA NA NA 1 2 1 NA 2 2 NA 1 2 NA NA NA 1 2 1 2 2 2 2 1 2 2 19 6 NA 3 3 NA 1 1 3 13 NA 2 4 NA 99 3 2 NA 3 3 2 NA NA 2 3 """" """" 2 ""U"" 1 36 5 1 2 4 5 3 1 1 1 2 3 3 0 1 0.720792205063129"
"""1020"" 200722 2 2 31616 1 ""C"" 3 47 """" 7 1 2 NA NA NA 1 1 1 1 2 3 3 4 NA 1 3 NA NA 2 1 NA NA NA NA 2 1 2 2 2 2 2 NA NA 3 3 2 9 3 3 9 3 9 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 3 3 9 NA 2 3 NA 4 NA NA NA 1 2 1 2 2 2 2 2 2 2 69 1 NA 5 NA NA 5 NA 2 1 NA 2 2 NA 9 1 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 3 47 2 0 1 2 3 1 6 4 2 2 2 2 1 1 0.849031581069254"
"""1021"" 200726 2 2 30316 1 ""P"" 4 6 """" 5 2 2 NA NA NA 1 1 1 1 2 3 2 NA 3 NA NA 2 1 2 1 NA NA NA NA 2 1 1 1 2 1 1 3 4 3 3 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 1 2 2 2 1 NA NA NA 2 1 2 NA 2 3 NA 3 4 NA NA NA 1 2 1 2 2 2 1 1 2 1 54 1 NA 6 5 NA 2 NA 3 1 NA 1 3 NA 6 1 1 NA 2 3 3 NA NA 1 1 """" """" 1 ""S"" 4 6 2 0 1 1 3 1 4 3 3 3 2 2 1 1 1.35428778649154"
"""1022"" 200729 2 2 30316 1 ""P"" 4 6 """" 10 2 2 NA NA NA 1 1 2 1 4 4 4 NA 4 NA NA 2 1 1 7 NA NA NA NA 1 1 1 1 1 1 1 9 4 9 9 9 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 1 NA NA NA 1 1 9 NA 9 9 NA 9 4 NA NA NA 3 NA NA NA 3 2 2 2 2 1 26 1 NA 4 3 NA 1 1 9 13 NA 1 1 NA 99 2 9 9 4 3 2 NA NA 2 3 """" """" 5 ""U"" 4 6 5 1 9 9 5 3 2 1 2 2 3 3 0 1 0.578390652410269"
"""1023"" 200733 2 2 30316 1 ""P"" 4 6 """" 10 2 2 NA NA NA 1 2 1 1 1 1 2 NA 1 NA NA 2 1 2 2 NA NA NA 1 1 1 2 1 2 1 1 3 3 3 2 1 3 NA NA NA NA NA NA 3 3 3 1 3 3 2 2 2 2 1 1 1 1 2 1 1 NA 1 1 NA 1 4 2 2 2 1 2 1 2 1 1 1 1 1 1 27 6 NA 6 2 2 2 NA 1 13 NA 1 1 2 6 1 3 2 5 5 5 NA NA 1 2 """" """" 2 ""U"" 4 6 5 0 2 3 5 2 2 1 3 3 2 2 1 1 0.0833944100325578"
"""1024"" 200734 2 2 30316 1 ""C"" 3 47 """" 7 2 2 NA NA NA 1 2 1 1 1 2 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 1 1 1 1 2 2 1 2 4 2 1 2 3 NA NA NA NA NA NA 3 3 3 1 1 9 2 1 2 2 2 NA NA NA 3 1 1 NA 1 3 NA 1 2 NA NA NA 2 2 1 2 2 2 2 2 2 2 28 1 NA 7 5 NA 2 NA 4 12 NA NA 6 NA 5 1 2 NA 3 2 2 NA NA 2 1 """" """" 1 ""U"" 3 47 4 0 2 4 5 1 2 1 3 2 3 3 0 1 1.17433851750268"
"""1025"" 200735 2 2 30316 1 ""P"" 4 6 """" 10 2 2 NA NA NA 2 2 2 3 2 2 1 NA 3 NA NA 1 NA 1 1 NA NA NA NA 2 1 1 1 2 2 2 NA NA 2 3 3 1 NA NA NA NA NA NA 3 3 3 3 9 3 9 2 1 2 1 NA NA NA 2 1 1 NA 2 2 NA 1 3 NA NA NA 3 NA NA NA 2 2 2 2 3 1 52 3 NA 4 3 NA 4 1 3 1 NA 1 1 NA 2 2 2 NA 3 5 5 NA NA 1 3 """" """" 1 ""U"" 4 6 1 0 2 4 3 3 4 3 2 3 2 2 1 1 0.472291958260476"
"""1026"" 200736 2 2 31216 2 ""C"" 3 48 """" 10 1 2 NA NA NA 1 1 1 1 2 4 2 2 NA 1 3 NA NA 1 7 NA NA NA NA 4 NA 1 2 2 2 2 NA NA 3 3 2 3 3 3 3 1 1 1 NA NA NA NA NA NA 2 1 9 2 2 NA NA NA 2 4 1 1 NA 1 3 NA 4 NA NA NA 2 3 1 1 2 2 2 2 2 1 70 2 1 1 NA NA 3 3 5 2 NA 2 6 NA 1 3 1 NA 5 2 2 NA NA 2 3 """" """" 5 ""U"" 3 48 3 0 1 2 3 4 6 4 1 2 3 3 0 1 0.693717983259329"
"""1027"" 200743 2 2 32916 1 ""P"" 4 6 """" 7 1 2 NA NA NA 2 1 2 1 1 1 1 2 NA 1 1 NA NA 2 1 NA NA NA NA 2 1 3 2 4 1 1 2 3 3 3 1 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 4 2 2 NA 2 1 NA 2 NA NA NA 1 3 3 3 2 2 2 2 1 1 34 1 NA 3 5 NA 1 NA 3 1 NA 1 1 NA 8 1 1 NA 3 2 2 NA NA 2 1 """" """" 1 ""U"" 4 6 4 0 1 2 5 1 2 2 1 2 3 3 0 1 1.7117022530817"
"""1028"" 200744 2 2 30316 1 ""P"" 4 6 """" 10 1 2 NA NA NA 2 2 2 2 1 2 1 2 NA 2 2 NA NA 1 1 NA NA NA NA 2 1 4 2 2 2 2 NA NA 3 1 2 3 3 3 3 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 4 3 3 NA 2 1 NA 4 NA NA NA 2 1 2 4 2 2 2 2 2 1 57 3 NA 4 5 NA 1 1 4 12 NA NA 6 NA 7 1 3 1 3 4 4 NA NA 2 3 """" """" 1 ""S"" 4 6 5 0 1 3 3 3 5 3 2 3 3 3 0 1 0.512713723414106"
"""1029"" 200749 2 2 30316 2 ""P"" 4 6 """" 10 1 2 NA NA NA 1 3 1 3 2 1 2 3 NA 1 1 NA NA 1 1 NA NA NA NA 3 3 1 1 1 1 1 3 3 1 2 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 1 1 2 2 2 NA NA NA 1 2 2 2 NA 1 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 39 1 NA 2 5 NA 1 3 5 2 NA 2 2 NA 4 1 2 NA 2 4 2 NA NA 2 3 """" """" 1 ""U"" 4 6 5 2 2 4 4 4 3 2 1 2 3 3 0 1 0.571369549137708"
"""1030"" 200750 2 2 30316 1 ""P"" 4 53 """" 2 2 2 NA NA NA 2 2 1 4 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 1 1 1 1 2 1 1 3 3 2 1 3 3 NA NA NA NA NA NA 3 3 9 3 9 3 1 1 1 1 1 NA NA NA 2 2 2 NA 3 1 NA 1 2 NA NA NA 1 2 4 4 1 2 2 2 2 2 57 3 NA 5 5 NA 3 NA 4 1 NA 9 5 NA 1 1 3 1 4 2 2 NA NA 2 1 """" """" 1 ""S"" 4 53 2 0 1 3 3 1 5 3 2 2 3 3 0 1 3.05295009450147"
"""1031"" 200759 2 2 32916 2 ""C"" 3 48 """" 10 1 2 NA NA NA 1 1 1 2 2 2 2 2 NA 2 1 NA NA 1 1 NA NA NA NA 3 1 1 1 1 1 1 2 4 2 2 1 3 1 3 1 1 1 3 NA NA NA NA NA NA 2 2 1 2 1 NA NA NA 1 1 1 3 NA 3 3 NA 4 NA NA NA 9 NA NA NA 2 2 2 2 2 2 45 1 NA 1 5 NA 3 3 3 13 NA 1 1 NA 99 3 3 1 4 4 3 NA NA 2 3 """" """" 1 ""U"" 3 48 3 1 1 3 4 4 4 2 1 3 3 3 0 1 0.38576577956223"
"""1032"" 200763 2 2 30316 1 ""C"" 3 12 """" 3 1 2 NA NA NA 2 1 1 1 3 3 1 3 NA 2 2 NA NA 2 1 NA NA NA NA 2 1 1 3 2 1 1 2 4 3 3 2 3 3 3 3 1 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 1 1 3 NA 2 3 NA 2 NA NA NA 2 2 2 2 2 2 2 2 2 1 26 6 NA 4 5 NA 1 NA 4 10 NA NA 5 NA 4 3 2 NA 5 2 2 NA NA 1 1 """" """" 1 ""S"" 4 32 2 0 2 5 5 1 2 1 2 2 2 2 1 1 2.06572954061465"
"""1033"" 200765 2 2 31816 2 ""C"" 3 48 """" 9 1 2 NA NA NA 2 2 2 2 2 3 2 2 NA 9 1 NA NA 1 8 NA NA NA NA 3 1 2 9 2 9 2 NA NA 3 9 2 2 3 3 3 3 3 9 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 2 3 3 NA 1 1 NA 3 NA NA NA 3 NA NA NA 2 1 2 2 1 1 38 1 NA 6 1 NA 1 3 3 9 NA NA 4 NA 6 3 4 9 3 5 3 NA NA 2 3 """" """" 9 ""U"" 2 46 1 2 9 9 4 4 3 2 3 3 3 3 0 1 0.316747905045705"
"""1034"" 200767 2 2 30316 1 ""P"" 4 6 """" 10 1 2 NA NA NA 2 4 3 3 3 1 1 1 NA 2 3 NA NA 1 7 NA NA NA NA 2 2 1 1 3 2 1 1 4 1 3 2 3 3 3 3 1 1 3 NA NA NA NA NA NA 2 1 1 2 1 NA NA NA 1 1 1 1 NA 2 1 NA 2 NA NA NA 2 4 5 2 1 1 2 1 2 2 21 6 NA 3 3 NA 2 1 3 2 NA 2 4 NA 3 1 2 NA 2 7 7 NA NA 1 3 """" """" 5 ""U"" 4 6 5 0 2 4 5 3 1 1 1 3 2 2 1 1 0.561720599297186"
"""1035"" 200768 2 2 31316 2 ""P"" 4 6 """" 10 2 2 NA NA NA 2 3 2 3 3 3 3 NA 1 NA NA 2 1 1 7 NA NA NA NA 1 3 2 2 2 2 2 NA NA 3 3 2 3 NA NA NA NA NA NA 1 3 3 1 1 1 2 2 2 2 2 NA NA NA 1 2 1 NA 1 1 NA 2 2 NA NA NA 3 NA NA NA 2 2 2 2 2 1 61 1 NA 1 5 NA 9 3 5 2 NA 2 4 NA 99 3 2 NA 2 9 4 NA NA 2 3 """" """" 5 ""U"" 4 6 5 99 2 4 3 4 5 3 1 3 3 3 0 1 0.550810039294425"
"""1036"" 200769 2 2 30916 2 ""P"" 4 6 """" 10 2 2 NA NA NA 2 2 2 2 3 3 4 NA 4 NA NA 2 1 1 1 NA NA NA NA 4 NA 2 2 4 2 2 NA NA 3 2 3 1 NA NA NA NA NA NA 2 3 3 1 1 3 2 2 2 2 2 NA NA NA 2 3 1 NA 1 1 NA 1 1 NA NA NA 3 NA NA NA 2 2 2 2 2 1 54 1 NA 1 5 NA 1 3 5 2 NA 2 4 NA 2 3 3 9 5 3 2 NA NA 2 3 """" """" 1 ""S"" 4 6 1 1 9 3 3 4 4 3 1 2 3 3 0 1 0.5836004785339"
"""1037"" 200772 2 2 30316 1 ""C"" 3 48 """" 9 2 2 NA NA NA 2 1 1 2 1 1 1 NA 1 NA NA 1 NA 2 1 NA NA NA NA 2 1 2 2 4 4 1 4 4 1 3 1 3 NA NA NA NA NA NA 3 3 9 9 3 3 2 2 2 2 2 NA NA NA 2 4 3 NA 3 1 NA 1 1 NA NA NA 1 2 4 4 2 2 1 2 2 2 52 1 NA 6 5 NA 1 NA 2 1 NA 1 5 NA 6 1 1 NA 1 6 4 NA NA 1 1 """" """" 1 ""S"" 3 48 5 2 1 1 3 1 4 3 3 3 2 2 1 1 0.345111700167152"
"""1038"" 200774 2 2 30316 1 ""C"" 3 28 """" 7 2 2 NA NA NA 2 1 1 2 2 1 1 NA 3 NA NA 1 NA 2 1 NA NA NA NA 1 1 4 3 4 3 1 3 4 1 2 1 3 NA NA NA NA NA NA 3 3 3 1 3 3 2 2 2 2 1 NA NA NA 2 4 3 NA 1 2 NA 1 2 NA NA NA 1 1 4 4 2 2 2 2 2 1 68 5 NA 3 NA NA 3 NA 4 9 NA NA 6 NA 3 3 3 1 4 1 NA NA NA 2 1 """" """" 1 ""U"" 3 47 4 0 1 3 3 1 6 4 1 1 3 3 0 1 1.51281608724297"
"""1039"" 200777 2 2 30316 1 ""P"" 4 53 """" 4 2 2 NA NA NA 1 2 1 2 2 1 2 NA 1 NA NA 2 2 2 1 NA NA NA NA 1 1 1 2 1 2 1 3 2 2 1 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 1 1 2 1 NA NA NA 1 2 1 NA 3 3 NA 3 4 NA NA NA 1 1 1 1 2 2 2 2 2 2 30 6 NA 6 5 NA 1 NA 4 11 2 NA 6 NA 4 1 2 NA 5 1 NA NA NA 2 1 """" ""HEATHEN"" 1 ""U"" 2 29 5 0 2 5 5 1 2 2 3 1 3 3 0 1 2.65982375045871"
"""1040"" 200779 2 2 30316 1 ""P"" 4 6 """" 9 1 2 NA NA NA 2 2 3 3 1 2 1 2 NA 2 3 NA NA 2 1 NA NA NA NA 2 1 2 4 4 1 1 2 4 3 3 1 2 2 3 9 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 2 2 1 NA 3 1 NA 2 NA NA NA 1 4 4 4 2 2 2 2 2 2 37 6 NA 6 5 NA 1 NA 4 10 NA NA 6 NA 6 1 1 NA 3 1 NA NA NA 2 1 """" """" 1 ""U"" 4 6 3 0 1 2 4 1 3 2 3 1 3 3 0 1 0.76197644531064"
"""1041"" 200782 2 2 30316 1 ""P"" 4 6 """" 10 2 2 NA NA NA 2 2 1 2 1 2 1 NA 1 NA NA 2 1 2 3 NA NA NA NA 2 1 1 1 2 1 1 2 3 3 3 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 1 1 2 1 NA NA NA 1 1 1 NA 1 3 NA 2 1 NA NA NA 1 2 1 2 2 2 1 2 2 2 25 3 NA 5 3 NA 3 NA 4 2 NA 2 4 NA 4 1 2 NA 4 1 NA NA NA 2 4 """" """" 3 ""U"" 4 6 5 0 2 5 5 5 2 1 2 1 3 3 0 1 0.783732610862136"
"""1042"" 200783 2 2 30316 1 ""P"" 4 6 """" 10 1 2 NA NA NA 1 2 1 3 1 1 1 1 NA 2 2 NA NA 2 2 NA NA NA 1 1 1 2 1 2 1 1 2 3 3 3 2 2 3 1 1 1 1 1 NA NA NA NA NA NA 2 1 1 2 1 2 1 1 2 1 1 1 NA 1 2 NA 2 2 2 2 1 1 1 3 1 2 2 2 2 2 47 3 NA 4 5 2 3 NA 3 11 1 2 2 2 8 3 2 NA 3 3 3 NA NA 1 2 """" ""SPIRITUAL"" 2 ""U"" 4 6 5 0 2 4 4 2 4 2 2 3 2 2 1 1 0.244248250604179"
"""1043"" 200785 2 2 31416 1 ""P"" 4 53 """" 2 1 2 NA NA NA 3 4 4 4 4 4 4 4 NA 2 3 NA NA 2 2 NA NA NA 4 1 9 3 4 3 4 1 4 4 1 3 2 2 3 1 1 1 1 1 NA NA NA NA NA NA 2 1 1 1 1 2 2 2 1 1 1 1 NA 3 2 NA 1 9 5 5 2 4 5 3 3 1 1 1 1 1 28 6 NA 4 5 2 1 NA 5 13 NA 2 6 NA 3 1 4 9 9 1 NA NA NA 2 2 """" """" 2 ""S"" 4 32 2 0 9 9 5 2 2 1 2 1 3 3 0 1 1.02542429823416"
"""1044"" 200790 2 2 31216 1 ""H"" 4 15 """" 3 2 2 NA NA NA 3 2 2 3 1 2 1 NA 2 NA NA 2 9 9 3 NA NA NA NA 3 2 1 1 1 1 1 2 2 2 2 9 2 NA NA NA NA NA NA 1 1 1 1 1 1 1 1 1 2 1 NA NA NA 1 1 2 NA 1 1 NA 1 2 NA NA NA 2 2 1 2 1 1 1 1 2 1 77 2 1 4 NA NA 5 NA 4 14 NA NA 4 NA 2 1 2 NA 3 6 6 NA NA 1 4 """" """" 3 ""S"" 4 15 4 0 2 4 2 5 6 4 2 3 2 2 1 1 1.98859403647018"
"""1045"" 200791 2 2 30316 1 ""H"" 4 15 """" 3 2 2 NA NA NA 2 2 1 3 1 1 1 NA 2 NA NA 1 NA 2 2 NA NA NA 3 1 1 4 3 4 2 1 3 3 3 3 1 2 NA NA NA NA NA NA 3 1 3 1 1 3 2 2 2 2 1 2 2 2 2 4 2 NA 2 2 NA 1 2 3 3 3 1 1 4 4 2 2 2 2 2 1 44 1 NA 8 5 2 1 NA 2 1 NA 2 3 3 9 1 1 NA 1 5 2 NA NA 2 2 """" """" 2 ""S"" 4 15 4 3 1 1 4 2 3 2 3 2 3 3 0 1 0.651898179637514"
"""1046"" 200794 2 2 30416 1 ""P"" 4 6 """" 9 2 2 NA NA NA 2 2 1 2 2 2 1 NA 2 NA NA 2 1 1 7 NA NA NA NA 1 1 1 2 2 2 1 4 4 3 3 1 2 NA NA NA NA NA NA 3 3 1 1 3 1 2 1 2 2 2 NA NA NA 2 1 2 NA 1 2 NA 2 4 NA NA NA 1 2 5 2 9 2 2 2 2 1 43 1 NA 3 5 NA 1 1 4 13 NA 2 5 NA 4 2 2 NA 9 5 3 NA NA 2 3 """" """" 5 ""S"" 4 6 1 2 2 9 4 3 3 2 1 3 3 3 0 1 0.782249876044947"
"""1047"" 200795 2 2 30416 1 ""E"" 2 18 """" 1 1 2 NA NA NA 2 1 2 3 1 2 2 3 NA 1 3 NA NA 2 1 NA NA NA NA 3 1 2 2 2 1 2 NA NA 3 3 2 3 3 3 3 1 3 3 NA NA NA NA NA NA 1 1 1 1 1 NA NA NA 1 2 2 1 NA 1 3 NA 4 NA NA NA 2 3 2 2 2 2 2 2 2 2 36 3 NA 3 5 NA 3 NA 5 12 NA NA 6 NA 2 1 2 NA 4 8 6 NA NA 1 1 """" """" 1 ""R"" 2 18 1 2 2 5 4 1 3 2 1 3 2 2 1 1 3.69"
"""1048"" 200798 2 2 30416 1 ""E"" 3 51 """" 10 1 2 NA NA NA 3 4 4 4 1 4 1 4 NA 1 2 NA NA 2 2 NA NA NA 3 1 2 1 3 3 1 1 2 2 1 3 2 2 3 3 3 3 3 3 NA NA NA NA NA NA 1 1 1 1 1 2 2 2 2 2 2 2 NA 1 1 NA 4 1 2 5 2 3 3 4 2 2 2 2 2 2 46 2 1 6 5 2 3 NA 2 1 NA 1 3 3 1 1 3 1 1 3 3 NA NA 1 2 """" """" 2 ""R"" 3 51 1 0 1 3 4 2 4 2 3 3 2 2 1 1 0.0939113782725634"
"""1049"" 200799 2 2 30416 1 ""E"" 3 24 """" 4 2 2 NA NA NA 1 2 1 1 1 2 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 3 1 1 1 2 1 1 3 3 2 1 3 2 NA NA NA NA NA NA 1 3 1 1 1 1 2 2 2 2 2 NA NA NA 2 2 1 NA 1 2 NA 1 4 NA NA NA 1 2 2 2 2 2 2 2 2 2 69 2 1 6 NA NA 3 NA 2 1 NA 2 3 NA 4 1 2 NA 4 2 2 NA NA 2 1 """" """" 1 ""U"" 3 24 5 0 2 5 3 1 6 4 3 2 3 3 0 1 1.62956249722161"
"""1050"" 200801 2 2 30416 1 ""E"" 3 37 """" 10 2 2 NA NA NA 2 2 1 2 2 3 4 NA 1 NA NA 2 2 2 2 NA NA NA 2 3 2 4 4 4 4 1 1 3 1 1 2 2 NA NA NA NA NA NA 1 3 1 1 1 1 2 1 2 2 2 2 2 2 1 4 1 NA 1 1 NA 1 2 4 4 4 1 1 1 2 1 2 1 2 2 1 28 6 NA 3 5 NA 3 NA 5 13 NA 1 6 NA 2 3 3 9 9 2 2 NA NA 2 2 """" """" 2 ""R"" 3 37 1 0 9 3 5 2 2 1 1 2 3 3 0 1 0.242114294450322"
"""1051"" 200807 2 2 32216 1 ""E"" 1 42 """" 1 2 2 NA NA NA 2 4 3 3 1 2 1 NA 4 NA NA 2 2 2 1 2 5 NA NA 1 1 1 2 2 2 1 2 3 3 3 9 3 NA NA NA NA NA NA 3 3 3 1 9 3 2 1 1 2 1 NA NA NA 3 1 2 NA 1 2 NA 1 2 NA NA NA 3 NA NA NA 2 2 2 2 2 1 32 1 NA 4 3 NA 3 NA 3 2 NA 1 2 NA 4 2 3 9 2 2 2 NA NA 2 4 """" """" 4 ""R"" 1 42 2 0 9 3 5 5 2 2 2 2 3 3 0 1 3.14451974224725"
"""1052"" 200809 2 2 30516 2 ""E"" 3 37 """" 9 1 2 NA NA NA 2 2 1 2 1 1 2 2 NA 2 2 NA NA 1 1 NA NA NA NA 2 1 3 1 3 1 1 3 4 2 3 1 3 2 3 2 2 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 2 1 2 NA 1 1 NA 2 NA NA NA 3 NA NA NA 2 1 2 2 2 1 50 2 2 1 5 NA 1 3 5 13 NA 1 6 NA 4 3 3 9 9 5 4 NA NA 2 3 """" """" 1 ""U"" 3 37 4 1 9 3 4 4 4 3 1 3 3 3 0 1 0.591927494062363"
"""1053"" 200811 2 2 30416 1 ""E"" 1 36 """" 5 1 2 NA NA NA 1 1 1 9 4 4 4 4 NA 1 2 NA NA 2 1 NA NA NA NA 1 1 1 2 2 1 2 NA NA 3 3 2 9 3 3 1 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 1 1 2 NA 3 1 NA 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 74 1 NA 4 NA NA 2 NA 4 2 NA 2 2 NA 6 1 2 NA 2 2 2 NA NA 2 1 """" """" 1 ""S"" 1 36 3 0 2 4 2 1 6 4 2 2 3 3 0 1 3.07477813644747"
"""1054"" 200817 2 2 30416 1 ""E"" 3 51 """" 3 1 2 NA NA NA 1 1 1 2 1 3 2 3 NA 2 1 NA NA 2 1 NA NA NA NA 2 1 2 1 2 2 1 2 4 2 3 2 2 3 3 3 1 1 3 NA NA NA NA NA NA 1 2 2 2 2 NA NA NA 2 2 1 1 NA 3 2 NA 4 NA NA NA 2 2 2 2 1 2 2 2 2 1 26 6 NA 6 5 NA 1 NA 3 12 NA NA 6 NA 4 3 2 NA 4 3 3 NA NA 2 1 """" """" 1 ""U"" 3 51 5 0 2 5 5 1 2 1 3 3 3 3 0 1 1.71863820847948"
"""1055"" 200830 2 2 30416 2 ""E"" 3 13 """" 9 1 2 NA NA NA 1 1 1 2 2 2 1 2 NA 1 3 NA NA 1 1 NA NA NA NA 2 1 2 2 2 1 1 3 3 3 3 2 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 3 1 1 NA 1 1 NA 4 NA NA NA 1 3 2 2 2 2 2 2 2 1 49 1 NA 7 5 NA 1 3 2 2 NA 2 4 NA 99 1 3 9 3 5 2 NA NA 1 3 """" """" 1 ""S"" 3 12 4 3 9 3 4 4 4 2 3 2 2 2 1 1 0.273511044462653"
"""1056"" 200834 2 2 30416 1 ""C"" 3 48 """" 9 1 2 NA NA NA 1 1 1 1 2 2 4 4 NA 2 3 NA NA 1 7 NA NA NA NA 1 2 2 2 2 2 1 2 4 2 2 9 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 2 1 2 NA 1 1 NA 4 NA NA NA 2 4 1 2 2 2 2 2 2 1 30 6 NA 2 5 NA 1 3 3 12 NA NA 6 NA 2 3 3 2 2 2 1 NA NA 2 3 """" """" 5 ""S"" 3 48 5 1 2 3 5 4 2 2 1 1 3 3 0 1 0.41460323211438"
"""1057"" 200839 2 2 30416 1 ""E"" 3 24 """" 7 2 2 NA NA NA 2 1 2 4 2 1 1 NA 1 NA NA 2 1 2 1 NA NA NA NA 1 1 2 1 1 1 1 1 2 2 2 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 1 1 2 2 2 NA NA NA 1 2 1 NA 2 3 NA 2 4 NA NA NA 1 1 1 1 1 2 2 2 2 1 32 1 NA 4 3 NA 2 NA 4 12 NA NA 6 NA 7 1 2 NA 5 2 2 NA NA 2 1 """" """" 1 ""S"" 2 29 2 0 2 5 5 1 2 2 2 2 3 3 0 1 1.28790185813848"
"""1058"" 200840 2 2 30416 1 ""E"" 3 12 """" 8 1 2 NA NA NA 2 1 1 1 2 1 2 4 NA 1 1 NA NA 2 2 1 NA NA NA 1 2 2 2 2 1 1 1 4 3 2 3 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 1 3 3 NA 1 3 NA 4 NA NA NA 2 4 2 2 2 2 2 2 2 1 56 1 NA 4 5 NA 1 NA 3 2 NA 1 1 NA 6 1 2 NA 3 2 2 NA NA 1 4 """" """" 4 ""U"" 3 12 4 0 2 4 3 5 5 3 2 2 2 2 1 1 0.659451893119287"
"""1059"" 200841 2 2 31516 1 ""E"" 1 36 """" 10 2 2 NA NA NA 2 3 4 2 1 2 1 NA 1 NA NA 2 1 2 2 1 NA NA NA 1 1 2 2 1 2 2 NA NA 3 2 3 3 NA NA NA NA NA NA 1 1 3 1 1 3 2 2 1 2 1 NA NA NA 1 1 1 NA 1 1 NA 1 2 NA NA NA 1 1 1 2 1 2 9 1 2 1 27 6 NA 5 3 NA 1 NA 3 12 NA NA 6 NA 3 1 3 1 3 1 NA NA NA 2 4 """" """" 4 ""U"" 1 36 5 0 1 3 5 5 2 1 2 1 3 3 0 1 0.592280495347803"
